"nuprocesso";"deassunto";"devara";"dtcoleta";"declasse"
"00242689020168190087";DANO MORAL OUTROS - CDC;REGIONAL DE ALCANTARA;2020-01-10 00:00:00;Procedimento do Juizado Especial Cível/Fazendário
"00030547220198190205";DECLARACAO DE INEXISTENCIA DE DEBITO E / OU DA RELACAO JURIDICA;REGIONAL DE CAMPO GRANDE;2020-01-11 00:00:00;Procedimento do Juizado Especial Cível/Fazendário
"00488343920188190021";INCLUSAO INDEVIDA EM CADASTRO DE INADIMPLENTES / INDENIZACAO POR DANO MORAL;COMARCA DE DUQUE DE CAXIAS;2020-01-11 00:00:00;Procedimento do Juizado Especial Cível/Fazendário
"10050258520168260011";DIREITO DO CONSUMIDOR - Contratos de Consumo - Fornecimento de Energia Elétrica;;2020-01-11 00:00:00;Apelação Cível
"10055203820178260224";DIREITO DO CONSUMIDOR - Contratos de Consumo - Fornecimento de Energia Elétrica;;2020-01-10 00:00:00;Apelação Cível
"00007064420138170950";"";VARA UNICA DA COMARCA DE MIRANDIBA;2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL
"00276167920188190206";DANO MORAL OUTROS - CDC;REGIONAL DE SANTA CRUZ;2020-01-12 00:00:00;Procedimento do Juizado Especial Cível/Fazendário
"10859734320138260100";DIREITO CIVIL - Empresas - Recuperação judicial e Falência - Depósito Elisivo;;2020-01-11 00:00:00;Apelação Cível
"00110866320198190206";DECLARACAO DE INEXISTENCIA DE DEBITO E / OU DA RELACAO JURIDICA;REGIONAL DE SANTA CRUZ;2020-01-12 00:00:00;Procedimento do Juizado Especial Cível/Fazendário
"10136196820188260577";DIREITO DO CONSUMIDOR - Contratos de Consumo - Fornecimento de Energia Elétrica;;2020-01-11 00:00:00;Apelação Cível
"00032440820158170730";INDENIZACAO POR DANO MORAL;PRIMEIRA VARA CIVEL DA COMARCA DE IPOJUCA;2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL
"00015498220168170730";FORNECIMENTO DE ENERGIA ELETRICA;PRIMEIRA VARA CIVEL DA COMARCA DE IPOJUCA;2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL
"00152934620188172001";"";SECAO B DA 19A VARA CIVEL DA CAPITAL;2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL
"00001679620198173010";ABATIMENTO PROPORCIONAL DO PRECO;VARA UNICA DA COMARCA DE OROCO;2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL
"00044984420198172001";INDENIZACAO POR DANO MORAL;SECAO A DA 4A VARA CIVEL DA CAPITAL;2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL
"00229002620158190202";INCLUSAO INDEVIDA EM CADASTRO DE INADIMPLENTES / INDENIZACAO POR DANO MORAL;REGIONAL DE MADUREIRA;2020-01-11 00:00:00;Procedimento do Juizado Especial Cível/Fazendário
"03087784520178240033";Inclusão Indevida em Cadastro de Inadimplentes;;2020-01-12 00:00:00;Apelação Cível
"00094061220198190087";INCLUSAO INDEVIDA EM CADASTRO DE INADIMPLENTES / INDENIZACAO POR DANO MORAL;REGIONAL DE ALCANTARA;2020-01-11 00:00:00;Procedimento do Juizado Especial Cível/Fazendário
"00110421820178190011";FORNECIMENTO DE ENERGIA ELETRICA / CONTRATOS DE CONSUMO;COMARCA DE CABO FRIO;2020-01-11 00:00:00;Procedimento do Juizado Especial Cível/Fazendário
"00018107520188173220";DIREITO CIVIL;"2A VARA CIVEL DA COMARCA DE SALGUEIRO";2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"03030272720168240061";Inclusão Indevida em Cadastro de Inadimplentes;;2020-01-12 00:00:00;Apelação Cível
"00002080320198173030";DIREITO DO CONSUMIDOR;"1A VARA CIVEL DA COMARCA DE PALMARES";2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00028699720188178232";DIREITO CIVIL;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE VITORIA DE SANTO ANTAO;2020-01-10 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00161875620178172001";DIREITO DO CONSUMIDOR;SECAO A DA 5A VARA CIVEL DA CAPITAL;2020-01-12 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"10112249520188260224";DIREITO DO CONSUMIDOR - Contratos de Consumo - Fornecimento de Energia Elétrica;;2020-01-12 00:00:00;Apelação Cível
"00002632420088171450";DEFEITO, NULIDADE OU ANULACAO;VARA UNICA DA COMARCA DE TAMANDARE;2020-01-10 00:00:00;PROCEDIMENTO COMUM CIVEL
